original,standard
Aayila Villapil,AAYILAVILLAPIL
Abad Luna,ABADLUNA
Abd-al-Rahman,ABDALRAHMAN
AbdelAal,ABDELAAL
Abdel Azim,ABDELAZIM
Abd Elaziz,ABDELAZIZ
Abdel Bary,ABDELBARY
Abdel Fatih,ABDELFATIH
Abdel Fattah,ABDELFATTAH
Abdel Ghaffer,ABDELGHAFFER
Abdel Ghani,ABDELGHANI
Abdel Hafez,ABDELHAFEZ
Abdel Hamid,ABDELHAMID
Abdel Kader,ABDELKADER
Abdel Kadir,ABDELKADIR
Abdel-Karim,ABDELKARIM
Abdel Khalek,ABDELKHALEK
Abdel Maksoud,ABDELMAKSOUD
Abdel Nasser,ABDELNASSER
Abdel Nour,ABDELNOUR
Abdel Rady,ABDELRADY
Abd el Rahman,ABDELRAHMAN
Abdel Sabour,ABDELSABOUR
Abdel Salam,ABDELSALAM
Abdel Sattar,ABDELSATTAR
Abdel Shaheed,ABDELSHAHEED
Abdel Wahab,ABDELWAHAB
Abdel-Wahid,ABDELWAHID
Abdel Wajid,ABDELWAJID
Abdi Noor,ABDINOOR
Abdi-Tehrani,ABDITEHRANI
Abdul Gayoom,ABDULGAYOOM
Abdul Ghafoor,ABDULGHAFOOR
Abdul-Jabbar,ABDULJABBAR
Abdullah Khan,ABDULLAHKHAN
Abdus Sattar,ABDUSSATTAR
Abed Rabbo,ABEDRABBO
Aboe Zaid,ABOEZAID
Abou Allal,ABOUALLAL
Abou El-Foul,ABOUELFOUL
Abou Khalil,ABOUKHALIL
Abou Rashed,ABOURASHED
Abu Aita,ABUAITA
Abu Akram,ABUAKRAM
Abu Amar,ABUAMAR
Abu-Assad,ABUASSAD
Abu Aysa,ABUAYSA
Abu Baker,ABUBAKER
Abu Daud,ABUDAUD
Abu Dhabi,ABUDHABI
Abu Fidaa,ABUFIDAA
Abu Ghraib,ABUGHRAIB
Abu Ghurab,ABUGHURAB
Abu Ghurayb,ABUGHURAYB
Abu Hilala,ABUHILALA
Abu Jawhara,ABUJAWHARA
Abu Laila,ABULAILA
Abul-Gheit,ABULGHEIT
Abu Mohammed,ABUMOHAMMED
Abu Nigme,ABUNIGME
Abu Qatada,ABUQATADA
Abu Rdeineh,ABURDEINEH
Abu Risha,ABURISHA
Abu Riza,ABURIZA
Abu Saleh,ABUSALEH
Abu Salim,ABUSALIM
Abu Sayyaf,ABUSAYYAF
Abu Se'efan,ABUSEEFAN
Abu Simbel,ABUSIMBEL
Abu Sisi,ABUSISI
Abu-Warda,ABUWARDA
Abu Zahrah,ABUZAHRAH
Adel Kamel,ADELKAMEL
Adriaensz.,ADRIAENSZ
Aertsz.,AERTSZ
Af Gennäs,AFGENNAS
af Jarlberg,AFJARLBERG
Agha Soltan,AGHASOLTAN
Agha Soltani,AGHASOLTANI
Af Sandeberg,AFSANDEBERG
A'hearn,AHEARN
Ahmed Salah,AHMEDSALAH
Ah Moon,AHMOON
Ait Bassou,AITBASSOU
Aite Baba,AITEBABA
Ait Kuda,AITKUDA
Ait Soussan,AITSOUSSAN
Akbar Hassan,AKBARHASSAN
al-Ahmadi,ALAHMADI
Al-Gutrani,ALGUTRANI
al-Ahmar,ALAHMAR
al-'Akkad,ALAKKAD
Al-Alauqi,ALALAUQI
Al Amin,ALAMIN
al-Assad,ALASSAD
al-Athir,ALATHIR
Al-Attar,ALATTAR
Al-Ayubbi,ALAYUBBI
Al-Awlaki,ALAWLAKI
al-Awbathani,ALAWBATHANI
Alba Alvarez,ALBAALVAREZ
al-Bagid,ALBAGID
al-Bakhit,ALBAKHIT
Al-Bandar,ALBANDAR
Al-Baraka,ALBARAKA
al-Bashir,ALBASHIR
Alberdingk Thijm,ALBERDINGKTHIJM
Al-Berri,ALBERRI
Al-Carfordy,ALCARFORDY
Al-Dalo,ALDALO
Al Darwish,ALDARWISH
al Delaema,ALDELAEMA
Al-Edani,ALEDANI
